digraph	symbol	name	gene	ap
~+	%sgls	siglus	[%sgls p=@ q=gene]                          ::	[%sgls *]  [%sggr [%memo %dtsg %$ p.gen] q.gen]
~&	%sgpm	sigpam	[%sgpm p=@ud q=gene r=gene]                 ::	
~=	%sgts	sigtis	[%sgts p=gene q=gene]                       ::	[%sgts *]  [%sggr [%germ p.gen] q.gen]
~!	%sgzp	sigzap	[%sgzp p=gene q=gene]                       ::	[%sgzp *]  [%sggr [%mean [%brdt p.gen]] q.gen]
;_	%smcb	semcab	[%smcb p=gene q=gene]                       ::	
;,	%smcm	semcom	[%smcm p=gene q=gens]                       ::	
;%	%smcn	semcen	[%smcn p=gens]                              ::	
;:	%smcl	semcol	[%smcl p=gene q=gens]                       ::	
;.	%smdt	semdot	[%smdt p=gene q=gens]                       ::	
;<	%smgl	semgal	[%smgl p=gene q=gene r=gene]                ::	
;>	%smgr	semgar	[%smgr p=gene q=gene r=gene]                ::	
;-	%smhp	semhep	[%smhp p=gene q=gene]                       ::	[%smhp *]  [%smls [%wtzp p.gen] q.gen]          ::
;+	%smls	semlus	[%smls p=gene q=gene]                       ::	
;&	%smpm	sempam	[%smpm p=gene q=gens]                       ::	
;~	%smsg	semsig	[%smsg p=gene q=gens]                       ::	
;;	%smsm	semsem	[%smsm p=gene q=gene]                       ::	
;*	%smtr	semtar	[%smtr p=gene q=gene]                       ::	
;=	%smts	semtis	[%smts p=gene q=gene]                       ::	
;?	%smwt	semwut	[%smwt p=gene q=gene]                       ::	
=|	%tsbr	tisbar	[%tsbr p=gene q=gene]                       ::	
=.	%tsdt	tisdot	[%tsdt p=gene q=gene r=gene]                ::	[%tsdt *]
=^	%tskt	tisket	[%tskt p=gene q=gene r=gene s=gene]         ::	
=:	%tscl	tiscol	[%tscl p=gent q=gene]                       ::	[%tscl *]
=<	%tsgl	tisgal	[%tsgl p=gene q=gene]                       ::	[%tsgl *]  [%tsgr q.gen p.gen]
=>	%tsgr	tisgar	[%tsgr p=gene q=gene]                       ::	
=-	%tshp	tishep	[%tshp p=gene q=gene]                       ::	[%tshp *]  [%tsls q.gen p.gen]
=+	%tsls	tislus	[%tsls p=gene q=gene]                       ::	[%tsls *]  [%tsgr [p.gen [~ 1]] q.gen]
=~	%tssg	tissig	[%tssg p=gens]                              ::	
?|	%wtbr	wutbar	[%wtbr p=gens]                              ::	
?:	%wtcl	wutcol	[%wtcl p=gene q=gene r=gene]                ::	
?.	%wtdt	wutdot	[%wtdt p=gene q=gene r=gene]                ::	[%wtdt *]   [%wtcl p.gen r.gen q.gen]
?<	%wtgl	wutgal	[%wtgl p=gene q=gene]                       ::	[%wtgl *]   [%wtcl p.gen [%zpzp ~] q.gen]
?>	%wtgr	wutgar	[%wtgr p=gene q=gene]                       ::	[%wtgr *]   [%wtcl p.gen q.gen [%zpzp ~]]
?-	%wthp	wuthep	[%wthp p=gene q=gent]                       ::	
?^	%wtkt	wutket	[%wtkt p=gene q=gene r=gene]                ::	[%wtkt *]   [%wtcl [%wtcn [%dtpt %$ 0] p.gen] r.gen q.gen]
?=	%wtts	wuttis	[%wtts p=gene q=gene]                       ::	[%wtts *]   [%wtcn ~(bunt al bore(gen p.gen)) q.gen]
?+	%wtls	wutlus	[%wtls p=gene q=gene r=gent]                ::	[%wtls *]   [%wthp p.gen (weld r.gen `_r.gen`[[[%bcts %noun] q.gen] ~])]
?&	%wtpm	wutpam	[%wtpm p=gens]                              ::	
?@	%wtpt	wutpat	[%wtpt p=gene q=gene r=gene]                ::	[%wtpt *]   [%wtcl [%wtcn [%dtpt %$ 0] p.gen] q.gen r.gen]
?~	%wtsg	wutsig	[%wtsg p=gene q=gene r=gene]                ::	[%wtsg *]   [%wtcl [%wtts [%bcts %null] p.gen] q.gen r.gen]
?!	%wtzp	wutzap	[%wtzp p=gene]                              ::	[%wtzp *]   [%wtcl p.gen [%dtsg %f 1] [%dtsg %f 0]]
!:	%zpcl	zapcol		
!,	%zpcm	zapcom	[%zpcm p=gene q=gene]                       ::	
!;	%zpsm	zapsem	[%zpsm p=gene q=gene]                       ::	
!^	%zpkt	zapket		
!>	%zpgr	zapgar	[%zpgr p=gene]                              ::	[%zpgr *]   [%zpsm [%bctr [%cnbc %type]] p.gen]
!=	%zpts	zaptis	[%zpts p=gene]                              ::	
